pair,issuer,audience,purpose,default_kid
EDGE_USER_IDENTITY,edge-bff,grassland-identity,user,edge-user-identity-v1
EDGE_USER_MARKETPLACE,edge-bff,grassland-marketplace,user,edge-user-marketplace-v1
EDGE_USER_FINANCE,edge-bff,grassland-finance,user,edge-user-finance-v1
EDGE_USER_TRUST,edge-bff,grassland-trust,user,edge-user-trust-v1
EDGE_USER_INTELLIGENCE,edge-bff,grassland-intelligence,user,edge-user-intelligence-v1
MARKETPLACE_SERVICE_FINANCE,marketplace,grassland-finance,service,marketplace-service-finance-v1
MARKETPLACE_SERVICE_TRUST,marketplace,grassland-trust,service,marketplace-service-trust-v1
MARKETPLACE_SERVICE_INTELLIGENCE,marketplace,grassland-intelligence,service,marketplace-service-intelligence-v1
MARKETPLACE_SERVICE_IDENTITY,marketplace,grassland-identity,service,marketplace-service-identity-v1
TRUST_SERVICE_FINANCE,trust,grassland-finance,service,trust-service-finance-v1
TRUST_SERVICE_MARKETPLACE,trust,grassland-marketplace,service,trust-service-marketplace-v1
TRUST_SERVICE_IDENTITY,trust,grassland-identity,service,trust-service-identity-v1
IDENTITY_SERVICE_FINANCE,identity,grassland-finance,service,identity-service-finance-v1
IDENTITY_SERVICE_INTELLIGENCE,identity,grassland-intelligence,service,identity-service-intelligence-v1
INTELLIGENCE_SERVICE_MARKETPLACE,intelligence,grassland-marketplace,service,intelligence-service-marketplace-v1
INTELLIGENCE_SERVICE_FINANCE,intelligence,grassland-finance,service,intelligence-service-finance-v1
INTELLIGENCE_SERVICE_IDENTITY,intelligence,grassland-identity,service,intelligence-service-identity-v1
