name,min_length,required,owner
SESSION_SECRET,32,true,identity
IDENTITY_ACCESS_TOKEN_SECRET,32,true,identity
MARKETPLACE_COMMERCE_REDEEM_CODE_SECRET,24,true,marketplace
CRYPTO_KEK_BASE64,40,true,security
INTERNAL_API_KEY,32,true,platform
DOUYIN_PROXY_TOKEN_SECRET,32,true,intelligence
BILIBILI_PROXY_TOKEN_SECRET,32,true,intelligence
QWEN_API_KEY,16,true,intelligence
MINIO_ROOT_USER,8,true,storage
MINIO_ROOT_PASSWORD,32,true,storage
MINIO_ACCESS_KEY,8,true,storage
MINIO_SECRET_KEY,32,true,storage
